"","Session","Question","Text","Residence"
"11",1,"7","From being a fully fishing dependent community as a resource of livelihood, I would rather want to see Shark Fin Bay as a model for marine biodiversity conservation that has a very strong partnership between private organizations like Sulubaai and the community and barangay and eventually elevating it with a more solid relationship with the municipal government. Having more tourism and local production based economy. When I say local production that could either be agriculture or mariculture, and of course sustainable and not polluting to the environment or at least controlled. And of course with citizens that are really aware of the importance of sustainability of the environment. And family with less kids, family plannings. Probably you have seen families with five or six kids. Well, nowadays, it has changed quite a bit. I have six other siblings, we are seven but no my brothers and sisters, I think the maximum is three at the moment so it is cut by half already, it is a very good step. We do not want to go with the one child policy of China, but it has to be between two to three, probably maximum.","Taytay"
"12",2,"1","For environmental issues here in Palawan, the number one is degradation of terrestrial resources as well as the flatlands and marine environment. It started when I was still young. The degradation in terms of forest is quite slow compared to other places in the Philippines.","Taytay"
"13",2,"2","Source of food for people, carbon sinks, habitats of local fauna which underictly has an impact to the lives of the people.","Taytay"
"14",2,"3","One of the issues now is the use of compressor because it is being coupled usually by the use of cyanide and dynamite. Dynamite fishing. For us it is not rampant but still it is a concern that should be addressed because it has several impacts to the fishery and the tourism. It started since then. If I compare it to the previous years, I would say the frequency of crimes pertaining to dynamite has slowed down today, or the number has declined compared to before. It has been almost daily in different places in Taytay Bay, particularly at the back of Casian Island, even in Depla. It was more rampant before. ","Taytay"
"15",2,"4","For me it is good to consider the visibility, because we have verified in our previous experiences that if we put law enforcers in different areas managed by the LGU. It is very obvious that the illegal activity that has been done before has stopped, and it is being drowned away to further places and areas. Pushed away from that site. We interpret it as the result of visibility. Then, the awarness of people. People should understand, and understanding results in cooperation. Making advocacy with their friends and fellows doing illegal fishing, to stop. Number three is the effective patrolling and apprehensions if available and if possible. The laws are already installed, there are so many laws, the problem for me is the implementation and how it is being carried out by people who have the strong conviction about protection. ","Taytay"
"16",2,"5a","The main goal of an MPA is spillover. Tourism is just a domino effect of the protection within the MPAs. For me, MPA is for food security basically. ","Taytay"
"17",2,"5b","It should be the people, especially the neighboring communities of the MPAs.","Taytay"
"18",2,"5c","For now there is the tool being used here to assess the effectiveness of the MPAs. We call it the MEAT, MPA Effectiveness Assessment Tool. And of course, the feedbacking for the socio-economic studies. It should be the people that will tell that an MPA is good based on the result of their fish catch, and for their economic life. ","Taytay"
"19",2,"6a","Sulubaai is a new foundation here in Taytay. For me they are so important especially in the Shark Fin Bay. We look at them as very good possible partners in the coming years and that could also influence the protection and rehabilitation of the Shark Fin Bay also to serve the people and communities in that particular areas. ","Taytay"
"20",2,"6b","If that would become a partnership that would florish between Sulubaai, the community and the LGU including the barangay, Sulubaai could really help by putting up social projects and fiscal projects and then projects that pertain to conservation so that the MPAs in particular in the Shark Fin Bay could improve to benefit the people in the coming years. ","Taytay"
"21",2,"6c","I am very much supportive in the creation of an MPA knowing that it would result in the improvement of people's lives in Taytay Bay and Shark Fin Bay. There would be no other means to redeem what has happened in the environment. MPA would be the best approach to consider. That is the reason why considering the importance of the LGU was convinced to declared the whole Taytay Bay as an MPA in the previous years.","Taytay"
"22",2,"7","I foresee a rehabilitated Taytay Bay and Shark Fin Bay, prosperous with marine resources and being managed cooperately and successfully by the people, the governments and by the stakeholders. I would like to see the future as a beautiful Shark Fin Bay and Taytay Bay. And of course an enthousiastic tourism industry. ","Taytay"
"23",3,"1","For example, a problem is mining. Commercial fishing and illegal fishing. It has been a long time now. And then, all the houses in coastal areas. For example here in Little Tondo, their waste is going directly in the water. And then for commercial. Here in the western part of Taytay, Malampaya Sound, there are so many commercial fishing vessels entering the protected area of Malampaya Sound. ","Taytay"
"24",3,"2","First for our everyday food. Main source of food of fisherfolk and our marginal fisherfolk. Also that is where we get our livelihood.","Taytay"
"25",3,"3","The low demand for fishing and the low price. The low catch. Because of illegal fishing activities. Illegal fishing by ways of dynamite and sodium cyanide. It started a long long time ago. When I was here, since 2007, that has been the main problem of our municipality. ","Taytay"
"26",3,"4","We have our revised Municipal Fisheries Code implemented here in the municipality of Taytay. It is efficient. We were implementing it since 2017 when it was revised. Then we have information education campaigns (IEC) in the barangays.","Taytay"
"27",3,"5a","If we have MPA we can protect our coastal resources like the spawning of broader fishes. We can protect the fingerlings ones. And then if we have MPAs, we can catch fishes more than enough.","Taytay"
"28",3,"5b","The communities like our fisherfolks. ","Taytay"
"29",3,"5c","Maybe it needs a 24/7 sancuatry guards, safeguarding and maintenance. Monitoring and surveillance of illegal activities withinin the area. ","Taytay"
"30",3,"6a","First I know is for environmental protection and conservation of coastal resources. Then, they give livelihoods for our marginal fishermen like in Depla and nearby barangays.","Taytay"
"31",3,"6b","Well, for Sulubaai, we have to coordinate with local government units (LGU) for example IEC so you can be with local government and academe. And for the rest Sulubaai is OK as far as I know. Coordination because if do not have coordination with barangay local government and municipal local government, they cannot pursue their vision and mission. ","Taytay"
"32",3,"6c","Big help to the community. ","Taytay"
"33",3,"7","If we pursue the protection and conservation of our coastal resources, there will be a lot of change in what happens. For example an increase in coastal resources. Then, population will be multiplied in the Shark Fin Bay. ","Taytay"
"34",4,"1","The problem is the illegals. And also all the trash that end up in the environment. For the illegals there are a lot of illegal logging in the mountains. Terramar arrived in 1986 and helped to control illegal fishing. At the beginning they had some pearl farms here and it diminished illegal fishing. ","Depla"
"35",4,"2","It is important for fishermen. They get some fish there. It is where they get their money for learning, and their food as well. They fish with hook and line there and sell their fish in the afternoon. There we get all what we need.","Depla"
"36",4,"3","The problem is that there are many illegals. For people who are legals it is much better as they can get a lot of help. The problem is really the illegals. It started a long time ago. And now there has been a great decrease, a reduction of such activities and we can count them on fingers.","Depla"
"37",4,"4","There should be some help to create executive orders or resolutions from barangay to make illegal and be more strict with the law. ","Depla"
"38",4,"5a","For officials, our thinking was to improve the future of our youth. Because for us if there is more and more people and less fish. So we want to give some help for the future generations. ","Depla"
"39",4,"5b","Locals people of the barangay of course. ","Depla"
"40",4,"5c","There needs to have security and guards and people who take care. Also need the respect of people for the MPA. ","Depla"
"41",4,"6a","Sulubaai is giving a lot of help for people, for jobs and for our trash. Sir Fred gave us recipients to put our trash. ","Depla"
"42",4,"6b","In my opinion their action is good. They have been giving us some help on environment. Sulubaai is helping the barangay.","Depla"
"43",4,"6c","","Depla"
"44",4,"7","There should be a better view, more beautiful. Also, there should be better livelihoods. ","Depla"
"45",5,"1","The primary environmental issue that we are facing here is the diminution of environmental resources because the local economy of those people are primarily dependent on these resources. So because of the depletion of those resources, it became the main issue as regards to the poverty problem that we are facing. Now it becomes a vicious cycle that whenever the poverty is there, and then environmental degradation is there, they are actually positively correlated. Plus, it is being exacerbated by the fact that people are increasing in numbers while the resources are not. So as times passes by, the problem becomes intense so that is the main issue that we have here. If you look at Palawan, I cannot tell you the exact time when environmental issues became apparent but perhaps it is better to tell you that Palawan is still relatively better than the others in terms of degradation of natural ecosystems. It is somehow more productive and the environment is relatively more intact than others because the beauty of Palawan is in its isolation away from the Philippines and so the influxes of the migrants is not as rapid as the others. So what made us relatively preserved. But in the avent of transport boom, tourism arrived, the transport by plane became easy and so a lot of movement of people from the outside. It started maybe 20 years ago. And it is becoming worse as time goes on. ","Taytay"
"46",5,"2","Well of course because of the local economy, and the existence of the people. The majority of people living on the coasts are dependent on the coastal ecosystems that they will derive their subsistence. If you look at the economic activitiy of Palawan, specifically in Taytay, most people here are fishermen. Although they may be both farmers and fishermen, there are more farmers than the fishermen. Well maybe because it is always near the sea or along the coast where people can start their living, and where the migrants came. Their first landing area is the landing area. It offers a lot of opportunity to the people because you can navigate, the accessibility of transport is there and the resources can be easily harvested as you don't have to plant. In the coastal communites you don't have to plant anything. You can have it caught wild.","Taytay"
"47",5,"3","The main issues of fishing in the Shark Fin Bay again can be derived from the first answer. The fish is in resource degradation and of course there are many factors for which the resources are being degraded. In the Shark Fin Bay, because it is a bay, a sound, there are the focus of the marginal fishermen activities. Mostly people along the shoreline activities are doing the fishing in the Shark Fin Bay. Coupled with the fact that there are unsustainable resources use like for instance the use of blast fishing, poisonous or noxious substances, the use of fine nets, the catching of small not so marketable size fish. This exacerbated the problem. Plus the fact that if you disturb the natural food web or food chain in the natural ecosystem like the coral reef or mangroves, you would also affect the whole populations that depend on that cycle. If you have perhaps observed the parrotfish are decreasing in numbers. The effect is there will be not enough parrotfish anymore. The sargassum and algae will cover the reef, something like that. There are more than that.","Taytay"
"48",5,"4","The national law is there, the local legislation pertaining to the sustainable use of natural resources and particularly fisheries is already existing. The problem is that the law is not being implemented of course. The issue is of course on the implementing. Aside from that is not being followed the populations there is no popular support for that maybe because of their myopic view of the local economy. Perhaps the solution is to decrease the pressure on fisheries so that you can give time to the fishery resources to regenerate itself before we can do the harvesting. Now how do we do that, maybe to lessen the pressure on fisheries we should provide some other sources of livelihoods for the fishermen. But the question is what kind of livelihood is suitable for them, right? Maybe we should increase the efficacy of the enforcement of the fishery laws so that the natural resources for the fisheries will be abated. So two things: economics and law enforcement is I think the solution for that. ","Taytay"
"49",5,"5a","MPA is good, because in MPAs it is where the resources are being especially protected, regulated. It is not an open-access to the general community because there are regulations that are put, conditions or controls or limits to its use. And of course, MPA in the light of regeneration of resources is good because they serve as breeding ground for all the fishery resources. Plus, if they will have a spill-over effect outside MPA this will be harvested for the goods of the outside MPAs. They serve as a repository for the resources. ","Taytay"
"50",5,"5b","The fishermen around MPAs are the first to benefit of MPAs because in the first place they are the one catching the fishery resources. So it is them, there are no other than that, except perhaps for the traders of the products, and as well for the consumers outside of the MPAs but the first benefits will be for those fishermen that would be harvesting near the protected area. ","Taytay"
"51",5,"5c","The easies way to determine if an MPA is efficient is to conduct on-site evaluation of the area. Evaluations of the resources, before or prior to the establishment, during the establishment and after some years after the establishment of an MPA. That is the first thing we should do, to look at what is there that changes for the better. But we have to put a basis, or a baseline data for comparison. Next is, we can scale the efficiency of an MPA from the basket of fishermen themself. If thir catch per unit of effort (CPUE) is high, that's good, but if their catch is still low after the MPA is established, I think something is wrong. So to ensure that this will stay efficient, again, we go to the question of law enforcement. And providing other sources of livelihoods for the fishermen. Now we are talking only of the fishermen that are there, that are marginal, that are local fishermen. We have also to consider the fact that it is impreative for MPAs to be preserved. Not to allow the outsiders to participate to the fishing inside the MPA. So by all means, the community around the MPA should guard the MPA for themselves. Not allowing anyone outside to enter that area because it is for tham, that is why it is declared MPA in the first place. So you just have to have a recess time for the resources and after that the spillover will go outside and you can catch them. And then the area itself will be teeming with natural resources. Teeming with fish, crustaceans, mollusks or whatever.","Taytay"
"52",5,"6a","","Taytay"
"53",5,"6b","","Taytay"
"54",5,"6c","","Taytay"
"55",5,"7","If we leave it that way, leaving the people in their own way of treating the resources, well it is doomed to destruction. Because every resources become like that, the tragedy of the commons so to speak that would happen in the Shark Fin Bay. Aside from that, there are also issues of illegal fisheries in the Shark Fin Bay. There is also this big issue of change in the climate that could somehow affect the natural process of everything in the Shark Fin Bay. Plus the fact that people are increasing in numbers and that not all of them have alternative sources of livelihoods and not all of them become educated to have other livelihoods. The number of people around the Shark Fin Bay will just add in numbers. If we provide it with environmental interventions, economic interventions, perhaps it's not really an utopian future, but at least we can minimize, or we can delay the future destruction. ","Taytay"
"56",6,"1","Unsustainable fishing practices are an issue. Illegal logging of forestries. In the south we have mining. We have a problem of solid waste management. So I think that is one of the major issues right now here. I think unsustainable fishing practices started year 2010. Way back to 20 years ago, or 25 years ago, Malampaya Sound is known as the ""fish bowl"" of the Philippines. Illegal loging started I think in the 1980s. But for mining I am not sure about this, because this is mostly in the south of Palawan","Taytay"
"57",6,"2","I think it is very important for sustainable fishing. There are no reserves. It has to be sustainable for the long term because people are too dependent on our natural resources. They have no other alternative livelihoods than fishing. Palawan is an island and people are very dependent, they are coastal communities. ","Taytay"
"58",6,"3","I think their methods of fishing is their problem now. Because they do not observe the closed or open seasons in fisheries. Also they do not respect the sizes of catch. And also the implementation of MPAs, because the locals are not very collaborative and do not have less priority to establish these zones in some areas. So that is why the resources are getting depleted. The general lack of empowerment of our guards. There are not a lot of guards. ","Taytay"
"59",6,"4","Actually right now we are implementing MPAs in the Taytay Bay. Not only in the Taytay Bay but also in the Malampaya Sound. I think another solution is increase the capacity of locals. So that even if there is not us or you, they can manage their area. Also about the regulations and policies that they have there. ","Taytay"
"60",6,"5a","The goal of an MPA is to produce more fish and conserve our marine areas. Everyone does not utilize them, we have multiple-use zones so that if some want to fish, they can fish in order to get sustainable fisheries for a long time. ","Taytay"
"61",6,"5b","It is the locals. And of course the market of Taytay, and other municipalities like El Nido because Taytay is the source of fish for El Nido. The resorts come here and this is where they get their stocks. ","Taytay"
"62",6,"5c","To be sure that MPA are efficient, it depends on the state of the guarding. The collaboration between the locals, the conservation agencies, the national and the local agencies. I think that it is very important to secure our MPAs. Because if it is only the locals, they might not know, and we need to guide them at some point. ","Taytay"
"63",6,"6a","","Taytay"
"64",6,"6b","","Taytay"
"65",6,"6c","","Taytay"
"66",6,"7","If our unsustainable fishing practices continue, it will get difficult to get the fish as they are declining. The fish populations. We can feel it in the markets, we can almost not buy anymore. I think if we get to establish MPAs, so, we will have more breeders and the fish populations will increase. I think people will also become less dependent on fishing if they are more educated. ","Taytay"
"67",7,"1","So many problems. Usually there are so many illegal activities. I think the wildlife poaching such as balinton. The marine turtles. For terrestrial, I think the kaingin, or slash and burn. In the summer, there is really a lot of kaingin. Then, illegal cutting of trees. For Palawan maybe, here it is.","Taytay"
"68",7,"2","Of course because the communities here in Palawan rely on coastal resources. That's why it is so important. Palawan communities, I think, 70% is fisherfolks. Even here in Taytay. The major communities are relying on marine resources. For livelihood of course, that is why it is important. For environmental aspects of course, it is also important because they are the one helping us for climate change ; they help for storm surges, our corals, seagrass and mangroves that are really important because they are the nursery grounds of fishers, shrimps, and of all the sea in the sea. They are nursery grounds. Connected eachothers: mangroves and seagrass are connected, if we lose one, there is an imbalance. In fact there are a lot of important things important about the coastal environment. If there are lost, there is low income, they will get other jobs, and nothing more given by the coastal environment.","Taytay"
"69",7,"3","I think one of the problems here is the illegal activities, especially dynamite, sodium cyanide, commercial fishing before. In 2005 maybe, but maybe 2003 I think, when I was in LGU year 2000 but then I was assigned at minerals and 2005 in agriculture and especially fisheries. When I was in MENRO, there were reports on agriculture, I think they caught illegal fishermen using dynamite. But I think before that there was already. But I was not yet at government at the time.","Taytay"
"70",7,"4","When it comes to illegal activities, the government and especially the LGU, actually, the activites are within the municipal waters. If the activities are within the municipal waters, the LGU should have their intervention. Especially in law enforcement. When it comes to illegal activities, they should have law enforcement activities. One of the best ways is to establish MPAs. Actually, Taytay bay has three MPAs: Denot fishery fish and sanctuary, Tecas Reef, and the Black Rock. Pangatalan Island is de facto MPA. It is like Terramar with the Pearl Farms. The area, they protect it and no one can get inside. For me, if there are investors, they are the one that can help us tu protect and conserve the environment. It is okay for me but of course you have to follow the laws, guidelines, processes and papers. ","Taytay"
"71",7,"5a","For me the goal is to protect the best resources that there are. Excellent or good corals right? If you establish MPAs you have to find the good or excellent ones so that there are the one that we should protect. Because of course, where there are beautiful corals, there are more fish. So, we should protect them so there are nursery grounds not to be affected. It is a ""set aside area"" where the fish can multiply and spillover. MPA is a beautiful concept. The only problem is for its management. Actually, when I was in the LGU, I was the only on the management of Tecas Reef. The commercial fishing like ""basgni"" we could catch these. Unfortunately, I'm the one in the list that should leave from the municipality.","Taytay"
"72",7,"5b","Of course, first of all, the fisherfolks who depend in the marine environment. But if the management of management know who to manage not only for fishing purposes, they can promote it also for tourism activities. In MPAs you can only see good resources only in MPAs, not outside, because outside it is pretty broken everywhere. So it depends on the management of MPAs. If they want to become benefit to people for fishing purposes, they can protect it. But if they want to promote it not only for fishing, I mean for protection but for tourism purposes only, so that's the one means to help fisherfolks for tourism. ","Taytay"
"73",7,"5c","","Taytay"
"74",7,"6a","","Taytay"
"75",7,"6b","","Taytay"
"76",7,"6c","","Taytay"
"77",7,"7","If the local government, national agencies or the community, if they protect the area, of course it will become as a consequence, more beautiful. The fish will come back. There are actually crocodiles in Batas, right? Their habitat is broken as well. If the LGU together with the communities and other agencies protect the Shark Fin Bay, so, there is the possibility that the fish comes back and multiply. And augment the diversity of fish. It will become happier especially for the fisherfolk as they are primarily the one getting benefits from the area. But if they don't protect it, the dynamite and sodium will continue. I don't know if there is still dynamite. When I was at the LGU we had an organization. We did not really move as the municipilaty was not very active.","Taytay"
"78",8,"1","1980s, was the worse I think. 70s transition to 80s when mangroves were converted into fishponds and government supported the development of fish farms for more fish production. But later they realized it's not advantage to the environment and they stopped maybe in the late 90s. So, from there, also, 70s and 80s disruptive fishing gears like bombs and poisonous substances to catch fish until again they realized the little fish left in the ocean. During that time, trawling and other means of distructive fishing were rampant. It was only late 90s or mid-90s that here in Palawan there were regulations to stop. But in other fishing grounds it was since 60s or 70s, outside Palawan. But we are talking only about Palawan.","Puerto Princesa"
"79",8,"2","I like nature. I like to see nature around me. So, I don't want it to be destroyed. Secondly, there is also food. Natural food ; not from the restaurant and factories. Fresh. And later, the services. If you have trees and mangroves, if there is typhoon, the wind will not be so disruptive. As a person, I like nature, I swim around. First time I came here in 1981, when I dived, playing underwater, ""this is the place for me, I don't want to go home"". I am not from here, I am from Panay Island, Visayas.","Puerto Princesa"
"80",8,"3","Honda Bay, Taytay Bay and Shark Fin Bay have very similar problems like overfishing. Taytay is better but here in Puerto Princesa it is more about development, road construction, sedimentation and development. Tourism is good but if not regulated it becomes a problem. And now, Puerto Princesa has a very fast developing tourism. Good for Taytay it is the El Nido which is target. But Taytay is developing their own tourism plan; better if it is already established before it becomes full-blown tourist area. That's the advantage of Taytay, it can still plan and implement. But Puerto Princesa is not bad but there are more threats: pollutants from industry, more people, informal settlers. Waste. ","Puerto Princesa"
"81",8,"4","Well from my experience, it is a combination. If only one that could be political will from the leaders. Second, money, funding. Third, knowledge and capacity to manage. I think that's the upper solutions. Of course there are many down the line. But I always see that without political will, money can't do anything. Budget cannot do anything. If you have money, you have political money and you don't know how, also; so it's a combination. Illegal fishing here before, in Puerto Princesa, it's an actual story that our previous mayor. Trawl fishing and bombing in Puerto Princesa Bay, it's very small. During that time, 80s, from here we can hear bomb. Because at the back of the school it is Puerto Princesa Bay. We an hear boom. And many trawl boats for shrimps, and shells. Even cyanide. Hookah, modified hookahs. Sometimes, boom and then compressor. So the mayor identified. Of course everybody knows everybody. They organized meetings for illegal fishers: ""what's your problem, okay the city gives you this boat, another boat, change livelihood"". Because the problem is always poverty. You have no money, you have to but of course it's not always true, it's greed. So, sample of the political will, the government gave money to the support for them to change their livelihood. Another one is the development of tourism. People, fishermen convert to boat operators, tourguides, swimming guides, so less effort in fishing. In Honda Bay now you can see less fishing and more tourism. And also El Nido. Puerto Princesa will be like El Nido later. It is very difficult because again the political will, they have money because they charge every tourist. But where is the money? It is not used to sustain, to maintain, to manage. But tourism is one solutions I can see. It's a good solution but you have to plan and regulate. ","Puerto Princesa"
"82",8,"5a","One is biodiversity, second is sustainable fisheries. I think that's the main objective. Some call community-based MPAs blabla to help the communities. But it's the same, if you do not have biodiversity you would not have the livelihood. Whoever manages it, the important thing is that it's effectively managed.","Puerto Princesa"
"83",8,"5b","Of course it's environment, nature. Second, people. The fishermen, because it's their livelihood. And their families. They are the direct beneficials. But there are bigger MPAs managed by the national Government. They are six around the Philippines and maybe two around here. The NIPAS. Supposed to be bigger MPAs that would have greater impacts, but no evaluations. They don't want to evaluate that. ","Puerto Princesa"
"84",8,"5c","Evaluation. Regular monitoring. Not only physically but effectiveness to the beneficials. First it would serve the marine ecosystem and then which would benefit to the fishermen, the community. ","Puerto Princesa"
"85",8,"6a","","Puerto Princesa"
"86",8,"6b","","Puerto Princesa"
"87",8,"6c","","Puerto Princesa"
"88",8,"7","Looking at Taytay to be improved, not so much developed but environment friendly tourism. More income for the communities. It's a question because there is many resources in Taytay Bay when the communities are poor. It's a more diversity but less money for the fishermen and farmers. That's the challenge in Taytay. There are few who manage to have income: the owners of the Islands of these blabla hotels. But the majority are poor. I don't know if it would be developed, more income for them. For employment. But better if they will have their own farms, organic and serve the guests of tourism with quality food rather than make roads and hotels and etc. Maybe a more laid back tourism something like that. For me, I don't know with others because businessmen have different opinion. You don't destroy you develop the nature. After all, tourists like nature, they don't like buildings because they come from so much buildings already. That's my concept. ","Puerto Princesa"
"89",9,"1","The fish became scarce. Back then the catch of fish were beautiful but now it is difficult already. In year 2008 it started. Year of 1970s it was still beautiful. 1980 and 1990 it was still quite good. But when it arrived to 2000, 2001 up, it was already difficult. Also, there is illegal fishing such as ""boom boom"", cyanide. That's it.","Sandoval"
"90",9,"2","Because we get a lot of our incomes from the ocean. The earnings from fishing. Then, the livelihood in the ocean is not a burden.","Sandoval"
"91",9,"3","","Sandoval"
"92",9,"4","We need to put guards so that illegals don't enter. ","Sandoval"
"93",9,"5a","To get more fish.","Sandoval"
"94",9,"5b","MPAs are for local people, right? People from the barangay.","Sandoval"
"95",9,"5c","We need to put boundaries, and so there are also guards. For example, in the area of Sandoval, there are boundaries until Batas. Like that, there is guards on the area and the illegals cannot enter.","Sandoval"
"96",9,"6a","They improve the marine environment.","Sandoval"
"97",9,"6b","Beautiful. If there is action like this, the environment will get better. The illegals cannot enter. Then there is protection, the fish can spawn and will increase in numbers. ","Sandoval"
"98",9,"6c","Also beautiful, it's okay. ","Sandoval"
"99",9,"7","We need to get such a system. People that guard so that the marine environment is not broken.","Sandoval"
"100",10,"1","In the ocean, there is boom boom. The environment is beautiful. Before, it was more beautiful. Now for example, there are a lot of kaingin, many people who cut the trees.","Depla"
"101",10,"2","Of course, because it is where our livelihood and earnings from. So we try to always take care of our environment. We live from it.","Depla"
"102",10,"3","Before, it was still beautiful here. The big boats were forbidden and it started becoming more beautiful. Terramar also arrived and they started arresting illegals. Now there are still a few illegals, but there is more guard and so there are less now.","Depla"
"103",10,"4","For the illegals, we need to catch them so that our catch becomes more beautiful again.","Depla"
"104",10,"5a","I think like in Pangatalan, it became a bit more beautiful with the protection for the fishery. There are guards and no illegals there.","Depla"
"105",10,"5b","Of course, the locals of Depla.","Depla"
"106",10,"5c","","Depla"
"107",10,"6a","It is a big help for people here in barangay Depla from Pangatalan. For example, there are the one getting a work there. People are thankful that Pangatalan came here.","Depla"
"108",10,"6b","It is really beautiful. It is a big help for Depla.","Depla"
"109",10,"6c","It is beautiful to have forbidden fishing there, because it is a spawning ground for fish inside the sanctuary. It is good to have such nurseries for fishes, like the corals. The fishermen cannot enter there because it is the nursery for fishes. Then people will get benefit from it when the fish go out further. They can go out of the MPA to the sea and then we can catch them they could go out. If they go out further out of the sanctuary, then they belong to us because they are outside. It is good. We should also stop tubli at the low tide, because people get the smallest fish. In the month of december, low tide is great. If a sanctuary is made, it is good because there are guards. If the fish are very small they can grow up then. Sanctuary is good.","Depla"
"110",10,"7","If this continues, the future of people here will be more beautiful. A sanctuary for example so the fish increase in numbers. People will have good earnings. ","Depla"
"111",11,"1","Forbidden illegals. Because they break our ocean, it is getting completely depleted. There is only a little bit left. Illegal trees cutting like that. Of course there will be landslides. It started a very long time ago. I was born in 1952. Of course, our anestors as well.","Depla"
"112",11,"2","For me, it has a value because for example, for our fellows, for our children, we get benefits from it. It is getting completely depleted, we could put MPAs like that. For everyone else it has a value because we get what we need, our food, from the ocean.","Depla"
